Unnamed:0,DESA_1,year,population
493,CIRANGKONG,2013,3150
494,CIPANCUR,2013,1639
495,CIPINANG,2013,4088
496,CIPARUNGSARI,2013,2997
497,KARYAMEKAR,2013,2960
498,CIBATU,2013,2696
499,CILANDAK,2013,3924
500,PASIRANGIN,2013,5373
501,NANGEWER,2013,5962
502,NEGLASARI,2013,4244
503,LINGGASARI,2013,4053
504,SAWIT,2013,3703
505,SIRNAMANAH,2013,2024
506,DEPOK,2013,6073
507,LEGOKSARI,2013,2210
508,MEKARSARI,2013,4272
509,GUNUNGHEJO,2013,3040
510,DARANGDAN,2013,5664
511,SADARKARYA,2013,2878
512,LINGGAMUKTI,2013,2930
513,CILINGGA,2013,4409
514,NAGRAK,2013,6452
515,TEGALDATAR,2013,6259
516,SINARGALIH,2013,6369
517,CITAMIANG,2013,4651
518,CIJATI,2013,2911
519,GUNUNGKARUNG,2013,4926
520,PASIRJAMBU,2013,3843
521,CIRAMAHILIR,2013,3871
522,SUKAMUKTI,2013,4081
523,SUKAHAJI,2013,2651
524,KAROYA,2013,4266
525,CADASSARI,2013,2610
526,CADASMEKAR,2013,3065
527,CITALANG,2013,4483
528,BATUTUMPANG,2013,4044
529,TEGALWARU,2013,2533
530,TEGALSARI,2013,2493
531,WARUNGJERUK,2013,4319
532,GALUMPIT,2013,2508
533,CISARUA,2013,4369
534,SUKAMULYA,2013,5337
535,PASANGGRAHAN,2013,3091
536,RAWASARI,2013,3650
537,GANDASOLI,2013,3388
538,GANDAMEKAR,2013,3021
539,CIBOGOHILIR,2013,6411
540,PALINGGIHAN,2013,5323
541,BABAKAN SARI,2013,2901
542,P L E R E D,2013,5317
543,SINDANGSARI,2013,5451
544,CITEKO,2013,5527
545,CITEKOKALER,2013,3757
546,LINGGARSARI,2013,4288
547,PAMOYANAN,2013,5642
548,LIUNGGUNUNG,2013,5321
549,ANJUN,2013,4451
550,CIBOGO GIRANG,2013,7385
551,SEMPUR,2013,5502
552,CIANTING,2013,6553
553,PASIRMUNJUL,2013,3579
554,CIBODAS,2013,3959
555,CIANTING UTARA,2013,3031
556,SUKATANI,2013,11218
557,MALANGNENGAH,2013,5514
558,CILALAWI,2013,4815
559,SUKAMAJU,2013,3374
560,CIPICUNG,2013,3117
561,TAJURSINDANG,2013,5208
562,SINDANGLAYA,2013,3950
563,PANYINDANGAN,2013,5561
564,SUKAJAYA,2013,4956
565,CIJANTUNG,2013,4093
566,CIWANGI,2013,10930
567,CIBENING,2013,9106
568,BUNGURSARI,2013,3368
569,CIBUNGUR,2013,3344
570,DANGDEUR,2013,1973
571,WANAKERTA,2013,3711
572,CINANGKA,2013,3281
573,CIKOPO,2013,7264
574,KARANGMUKTI,2013,2652
575,CIBODAS,2013,6287
576,NANGERANG,2014,2057
577,SIMPANG,2014,1943
578,SAKAMBANG,2014,1641
579,NAGROG,2014,2542
580,CIBUNTU,2014,1524
581,SUMURUGUL,2014,1648
582,RAHARJA,2014,1414
583,WANAYASA,2014,5533
584,BABAKAN,2014,3876
585,WANASARI,2014,3789
586,LEGOKHUNI,2014,2887
587,CIAWI,2014,2981
588,SUKADAMI,2014,3547
589,TARINGGUL TONGGOH,2014,3483
590,TARINGGUL TENGAH,2014,3848
591,JATIMEKAR,2014,3906
592,CIKAOBANDUNG,2014,5073
593,JATILUHUR,2014,3631
594,CILEGONG,2014,5105
595,KEMBANGKUNING,2014,9638
596,CIBINONG,2014,4400
597,PARAKANLIMA,2014,5470
598,CISALADA,2014,6319
599,MEKARGALIH,2014,9082
600,BUNDER,2014,10836
601,PUSAKAMULYA,2014,3960
602,PARAKAN GAROKGEK,2014,2888
603,CIRACAS,2014,2673
604,KIARAPEDES,2014,2650
605,CIBEBER,2014,2103
606,SUMBERSARI,2014,1597
607,MEKARJAYA,2014,2511
608,MARGALUYU,2014,2619
609,GARDU,2014,2228
610,TARINGGUL LANDEUH,2014,2019
611,PARUNGBANTENG,2014,2980
612,SUKASARI,2014,3446
613,CIRIRIP,2014,3863
614,KERTAMANAH,2014,2935
615,KUTAMANAH,2014,3810
616,CIBINGBIN,2014,4679
617,BOJONG TIMUR,2014,3975
618,PASANGGRAHAN,2014,2343
619,CIHANJAWAR,2014,2394
620,CIKERIS,2014,2666
621,BOJONG BARAT,2014,3055
622,PANGKALAN,2014,2431
623,SUKAMANAH,2014,2665
624,PAWENANG,2014,2838
625,SINDANGSARI,2014,3148
626,SINDANGPANON,2014,5985
627,CIPEUNDEUY,2014,4560
628,CILEUNCA,2014,3651
629,KERTASARI,2014,4162
630,SINDANGKASIH,2014,16984
631,NAGERI KIDUL,2014,14568
632,NAGERI TENGAH,2014,11039
633,CIPAISAN,2014,9206
634,NAGERI KALER,2014,22202
635,TEGALMUNJUL,2014,12059
636,CITALANG,2014,6753
637,MUNJULJAYA,2014,17266
638,CISEUREUH,2014,27234
639,PURWAMEKAR,2014,7247
640,MARACANG,2014,5293
641,CIWARENG,2014,7875
642,MULYAMEKAR,2014,6894
643,CIGELAM,2014,5863
644,BABAKANCIKAO,2014,3741
645,KADUMEKAR,2014,1522
646,HEGARMANAH,2014,2921
647,CICADAS,2014,4498
648,CILANGKAP,2014,5904
649,BUNGUR JAYA,2014,2006
650,PONDOKBUNGUR,2014,3225
651,SALEM,2014,3602
652,GALUDRA,2014,1309
653,SUKAJADI,2014,2704
654,TANJUNGSARI,2014,4304
655,SALAM JAYA,2014,3221
656,SITU,2014,2414
657,PARAKANSALAM,2014,1538
658,SALAM MULYA,2014,3114
659,GURUDUG,2014,2469
660,CIHERANG,2014,3978
661,CIDAHU,2014,1623
662,PASAWAHAN ANYAR,2014,1870
663,PASAWAHANKIDUL,2014,3227
664,SAWAH KULON,2014,5476
665,KERTAJAYA,2014,4711
666,LEBAKANYAR,2014,4889
667,CIHUNI,2014,3468
668,WARUNGKADU,2014,2461
669,SELAAWI,2014,4493
670,MARGASARI,2014,3439
671,PASAWAHAN,2014,4807
672,CIRENDE,2014,1916
673,BENTENG,2014,2640
674,CAMPAKA,2014,4107
675,CAMPAKASARI,2014,5036
676,CIJUNTI,2014,5786
677,CISAAT,2014,3620
678,CIMAHI,2014,5492
679,CIKUMPAY,2014,6164
680,CIJAYA,2014,3560
681,KERTAMUKTI,2014,3525
682,WANAWALI,2014,1589
