Unnamed:0,DESA_1,year,population
2438,CIJATI,2023,2829
2439,GUNUNGKARUNG,2023,4721
2440,PASIRJAMBU,2023,4090
2441,CIRAMAHILIR,2023,3746
2442,SUKAMUKTI,2023,3306
2443,SUKAHAJI,2023,3066
2444,KAROYA,2023,5285
2445,CADASSARI,2023,3140
2446,CADASMEKAR,2023,3616
2447,CITALANG,2023,5343
2448,BATUTUMPANG,2023,4716
2449,TEGALWARU,2023,3107
2450,TEGALSARI,2023,2955
2451,WARUNGJERUK,2023,5272
2452,GALUMPIT,2023,2992
2453,CISARUA,2023,4911
2454,SUKAMULYA,2023,6241
2455,PASANGGRAHAN,2023,3656
2456,RAWASARI,2023,3719
2457,GANDASOLI,2023,3831
2458,GANDAMEKAR,2023,3688
2459,CIBOGOHILIR,2023,7561
2460,PALINGGIHAN,2023,5444
2461,BABAKAN SARI,2023,3217
2462,P L E R E D,2023,5151
2463,SINDANGSARI,2023,5536
2464,CITEKO,2023,5209
2465,CITEKOKALER,2023,4112
2466,LINGGARSARI,2023,4814
2467,PAMOYANAN,2023,6456
2468,LIUNGGUNUNG,2023,6586
2469,ANJUN,2023,4797
2470,CIBOGO GIRANG,2023,8262
2471,SEMPUR,2023,5780
2472,CIANTING,2023,7417
2473,PASIRMUNJUL,2023,3513
2474,CIBODAS,2023,4597
2475,CIANTING UTARA,2023,3056
2476,SUKATANI,2023,13709
2477,MALANGNENGAH,2023,5616
2478,CILALAWI,2023,4696
2479,SUKAMAJU,2023,4066
2480,CIPICUNG,2023,3539
2481,TAJURSINDANG,2023,5995
2482,SINDANGLAYA,2023,4560
2483,PANYINDANGAN,2023,6759
2484,SUKAJAYA,2023,5479
2485,CIJANTUNG,2023,5422
2486,CIWANGI,2023,10775
2487,CIBENING,2023,13731
2488,BUNGURSARI,2023,3785
2489,CIBUNGUR,2023,3993
2490,DANGDEUR,2023,2527
2491,WANAKERTA,2023,3976
2492,CINANGKA,2023,3947
2493,CIKOPO,2023,7835
2494,KARANGMUKTI,2023,2918
2495,CIBODAS,2023,6529
